"['watsons', 'bad', 'bitch', 'central']"
"['rt', 'fate', 'sealed', 'depending', 'whether', 'ai', 'good', 'bad', 'rather', 'choice']"
"['im', 'crying', 'bad']"
"['another', 'thing', 'trust', 'tend', 'pass', 'players', 'trus']"
"['doctor', 'want', 'hear', 'good', 'news', 'bad', 'news', 'patient', 'good', 'news', 'please', 'doctor', 'naming', 'disease']"
"['rt', 'abel', 'amp', 'bad', 'bunny']"
"['acknowledge', 'might', 'horrific', 'think', 'also', 'thinking', 'still', 'pretty', 'bad']"
"['idk', 'bout', 'yall', 'got', 'really', 'bad', 'feeling', 'abt', 'final', 'line']"
"['rt', 'think', 'election', 'bad', 'wait']"
"['hard', 'build', 'brand', 'africa', 'good', 'times', 'uganda', 'bad', 'times']"
"['rt', 'town', 'people', 'bad', 'schools', 'almost', 'public', 'services', 'beyond', 'part', 'time', 'library', 'wants', 'spend', 'million']"
"['seoul', 'con', 'ended', 'hope', 'guys', 'enjoyed', 'sorry', 'giving', 'clips', 'bc', 'audio', 'bad', 'laggy', 'tried']"
"['bad', 'news', 'none', 'ever', 'visit', 'prison', 'thought', 'entertain', 'unfortunately']"
"['rt', 'eip', 'support', 'continues', 'roll', 'mobile', 'live', 'ios', 'amp', 'android', 'users', 'firefox', 'live', 'chrome', 'r']"
"['good', 'morning', 'remembers', 'fukuzawa', 'dies', 'ranpo', 'loses', 'someone', 'important', 'nvm', 'bad', 'bad', 'morning']"
"['rt', 'want', 'bad']"
"['hawks', 'would', 'bad', 'thing', 'lil', 'nugget']"
"['rt', 'local', 'leaders', 'crime', 'rose', 'bad', 'walmart', 'shut', 'doors']"
"['glory', 'k', 'man', 'woods', 'million', 'bad', 'flop', 'album', 'worry', 'fave', 'lol']"
"['rt', 'everyone', 'please', 'go', 'leave', 'positive', 'nice', 'review', 'indigo', 'cuz', 'solos', 'leaving', 'bad', 'reviews', 'album']"
"['news', 'media', 'constantly', 'saying', 'bad', 'people', 'wh']"
['bad']
"['bad', 'idea', 'start', 'watching', 'drama', 'woke', 'continued', 'watching']"
[]
"['depends', 'secret', 'good', 'secret', 'bad', 'secret']"
"['rt', 'hours', 'rt', 'like', 'amp', 'follow', 'share', 'badbunny', 'lyric', 'gets', 'hype']"
"['rt', 'ok', 'bad', 'keep', 'fighting']"
"['rt', 'thinking', 'clone', 'trooper', 'doll', 'omega', 'painted', 'bad', 'batcher', 'lt']"
"['listening', 'day', 'thought', 'like', 'man', 'never', 'ge']"
"['rt', 'chill', 'big', 'bad', 'bane', 'go', 'see']"
"['rt', 'returned', 'client', 'contract', 'spawned', 'chain']"
"['rt', 'final', 'night', 'happy', 'songkran', 'may', 'bad', 'things', 'past', 'year', 'stay', 'sand', 'castle', 'fresh', 'blessings', 'com']"
"['rt', 'manlywisdomin', 'words', 'bad', 'decisions', 'learn']"
"['rt', 'case', 'need', 'okay', 'okay', 'define', 'bad', 'day', 'today', 'tomorrow', 'anothe']"
"['rt', 'reminder', 'eat', 'today', 'feel', 'bad', 'guilty', 'look', 'happy', 'hyune', 'ate', 'felix', 'brownie', 'wa']"
"['exam', 'khatam', 'honey', 'ke', 'bad', 'parhlena']"
"['rt', 'keep', 'boycott', 'going', 'budweiser', 'ceo', 'deletes', 'linkedin', 'account', 'amp', 'exposed', 'cia', 'agent', 'make']"
"['rt', 'bad', 'british', 'empire', 'collapsed', 'world', 'war', 'seem', 'mind', 'true', 'brit']"
"['bad', 'thing', 'hayata', 'winning']"
"['masochist', 'clearly', 'know', 'wrong', 'rock', 'existing', 'mas']"
"['designers', 'would', 'like', 'know', 'really', 'bad', 'would', 'change', 'course', 'business', 'want', 'help', 'achieve', 'goals']"
"['literally', 'get', 'type', 'sleep', 'bad']"
"['rt', 'tipton', 'county', 'homes', 'schools', 'catastrophically', 'damaged', 'ef', 'tornado', 'two', 'weeks', 'ago', 'today', 'crestv']"
"['one', 'million', 'time', 'asthma', 'attack', 'find', 'inhaler', 'n', 'spacer', 'today', 'gonna', 'need', 'break']"
"['rt', 'oh', 'flopped', 'bad', 'bc', 'even', 'covid', 'keep', 'away', 'omg']"
"['oh', 'god', 'bad', 'heart']"
"['nothing', 'others', 'love', 'matter', 'bad']"
"['rt', 'bad', 'energy', 'stay', 'far', 'away', 'phyna', 'reality', 'tb', 'phynatheelephant', 'osatothemovie']"
"['funny', 'bad', 'read']"
"['rt', 'reminder', 'apologize', 'feelings', 'bad', 'day', 'mean', 'bad', 'life', 'always', 'something']"
"['yeah', 'almost', 'like', 'think', 'escaping', 'misogyny', 'rejecting', 'eventually', 'realise']"
"['c', 'mon', 'lakse', 'nicolascage', 'many', 'amazing', 'movies', 'adaptation', 'kick', 'ass', 'leavin']"
"['everytime', 'remember', 'nigeria', 'politicians', 'discussing', 'basic', 'things', 'enjoy', 'country', 'cu']"
"['rt', 'jeremy', 'hunt', 'talks', 'context', 'saying', 'uk', 'fastest', 'growing', 'g', 'economy', 'context', 'actually']"
"['rt', 'girl', 'love', 'real', 'bad', 'amp', 'love', 'even']"
"['rt', 'gz', 'disses', 'kodak', 'black', 'facebook', 'thoughts', 'seems', 'like', 'gz', 'bad', 'blood', 'kodak', 'black', 'diss']"
"['rt', 'atmosphere', 'contains', 'carbon', 'dioxide', 'goes', 'lower', 'plants', 'stops', 'growing', 'bad', 'ly']"
"['bad', 'choice']"
"['rt', 'really', 'feel', 'bad', 'people', 'taken', 'advantage', 'gullibility', 'much', 'unfair']"
"['rt', 'disability', 'life', 'bad', 'attitude', 'hastags', 'booster', 'lp', 'priyankachaharchoudhary', 'priyankapaltan']"
"['rt', 'need', 'fucking', 'bad']"
"['miss', 'u', 'really', 'bad']"
"['think', 'bad', 'really', 'thanks']"
"['rt', 'always', 'wanted', 'sexually', 'never', 'long', 'term', 'partner', 'sucks', 'bad']"
"['rt', 'tell', 'bad', 'belle', 'make', 'free', 'wanna', 'fly', 'wanna', 'anything', 'say', 'much', 'started', 'fr']"
"['say', 'suspicion', 'h', 'balcony', 'j']"
"['rt', 'jaehyun', 'ate', 'part', 'bad', 'couldnt', 'stay', 'still', 'seat', 'gods', 'sake']"
"['dylan', 'mulvaney', 'makes', 'incredibly', 'embarassed', 'transwoman', 'car']"
"['rt', 'intuition', 'aside', 'men', 'bad', 'cheaters', 'start', 'something', 'someone', 'else', 'neglect', 'little', 'things']"
"['rt', 'smoking', 'weed', 'make', 'u', 'bad', 'person']"
"['possible', 'way', 'whoever', 'vote', 'primary', 'bad', 'anyone', 'calls', 'democrat']"
"['rt', 'feel', 'bad', 'fandoms', 'cuz', 'wdym', 'need', 'wait', 'comeback', 'new', 'songs', 'wdym', 'favs', 'drop']"
"['definitely', 'play', 'fifa', 'career', 'mode', 'understand', 'anything', 'footb']"
"['disgrace', 'hope', 'real', 'bad', 'life', 'put', 'head', 'back', 'ass', 'piss']"
"['rt', 'sfg', 'ended', 'outstreaming', 'outcharting', 'outselling', 'bms', 'bad', 'move', 'onto', 'second', 'single', 'lmao']"
"['rt', 'bad', 'bunny', 'amp', 'post', 'malone', 'singing', 'la', 'cancion', 'acoustic']"
"['brain', 'bad', 'vibes']"
"['bro', 'fucking', 'tweet', 'pissed', 'bad', 'like', 'black', 'people', 'said', 'million', 'times', 'co']"
"['nothing', 'others', 'love', 'matter', 'bad']"
"['bad', 'british', 'empire', 'collapsed', 'world', 'war', 'seem', 'mind', 'true']"
"['rt', 'look', 'bad', 'batch', 'finally', 'back', 'together']"
"['rt', 'bad', 'news', 'sales', 'jimin', 'got', 'deleted', 'goodnews', 'radio', 'got', 'increased', 'week', 'means', 'like', 'crazy']"
"['rt', 'bad', 'mothers', 'financial', 'assistance', 'health', 'care', 'raised', 'corrupt', 'foster', 'care', 'system']"
"['rt', 'sure', 'mom', 'would', 'feel', 'bad', 'see', 'son', 'police', 'custody']"
"['rt', 'tiwa', 'savage', 'x', 'wizkid', 'bad', 'produced', 'p', 'j', 'single', 'miss', 'two']"
"['maybe', 'gotham', 'city', 'bad', 'history', 'freaks', 'dressed', 'like', 'clowns']"
"['rt', 'need', 'introduce', 'system', 'coach', 'badly', 'got', 'redo', 'badges', 'drove', 'car', 'bad']"
"['rt', 'say', 'whatever', 'want', 'like', 'always', 'lisa', 'proved', 'bad', 'bijj', 'intro', 'performance', 'da']"
"['friends', 'want', 'get', 'bad', 'unlike', 'fled', 'last', 'year', 'still', 'small', 'chil']"
"['rt', 'telling', 'people', 'tinubu', 'president', 'matter', 'crimes', 'committed', 'bad', 'baggage', 'th']"
"['gone', 'lie', 'allll', 'ex', 'bad', 'shit']"
"['rt', 'bad', 'actors', 'mocking', 'everything', 'girlhood', 'grown', 'men', 'makes', 'ripshit', 'pissed', 'leftists']"
"['indeed', 'harry', 'meghan', 'bashing', 'left', 'bad', 'taste', 'british', 'royal', 'family', 'w']"
"['harry', 'dude', 'left', 'gives', 'us', 'year', 'olds', 'bad', 'name']"
"['rt', 'lloris', 'spurs', 'fans', 'booing', 'davinson', 'sanchez', 'feel', 'really', 'bad', 'never', 'seen', 'career', 'started']"
"['feel', 'thinking', 'bad', 'even', 'bring', 'talk']"
"['rt', 'living', 'alone', 'cool', 'literally', 'control', 'vibe', 'lmao', 'bad', 'day', 'least', 'nobody']"
"['nvm', 'changed', 'whole', 'mind', 'moving', 'im', 'literally', 'gonna', 'eat', 'like', 'every', 'week']"
"['rt', 'konami', 'official', 'silent', 'hill', 'merch', 'fucking', 'bad']"
"['nothing', 'others', 'love', 'matter', 'bad']"
